status,station_no,name,district,address,parking_spaces,lat,lng,COUNTYNAME
1,180,福華商場,內湖區,民權東路六段/民權東路六段180巷(石潭平面停車場內)(鄰近防災科學教育館),40,25.06877,121.592654,臺北市
1,181,建國和平路口,大安區,建國南路二段/和平東路二段(西北側),52,25.02585,121.537383,臺北市
1,182,捷運古亭站(2號出口),中正區,羅斯福路二段/羅斯福路二段174巷(捷運古亭站2號出口前),50,25.0253,121.523537,臺北市
1,183,圓環站,大同區,南京西路/重慶北路一段(西南側)(鄰近寧夏夜市),32,25.05379,121.514179,臺北市
1,184,劍潭社區,中山區,通北街143號前,42,25.084759,121.537892,臺北市
2,185,?公公園,大安區,大安路一段/大安路一段75巷(西側)(鄰近東區地下街),30,25.042342,121.54605,臺北市
1,186,臺北市立大學,中正區,愛國西路/公園路(西北側)(鄰近台北市立教育大學),82,25.035414,121.514218,臺北市
1,187,仁愛延吉街口,大安區,仁愛路四段/延吉街(東南側)(鄰近大安親子館),34,25.037465,121.555769,臺北市
1,188,社子國小,士林區,延平北路六段/社中街(社子國小對面跨提便道橋下),56,25.090293,121.50189,臺北市
1,189,金瑞公園(金龍路),內湖區,金龍路213巷1弄7號前,38,25.087987,121.58781,臺北市
1,190,捷運大直站(3號出口),中山區,北安路458巷41弄/北安路536巷(捷運大直站3號出口前人行道),40,25.079278,121.546683,臺北市
1,191,捷運大湖公園站(2號出口),內湖區,成功路五段/大湖山莊街(大湖公園地下停車場旁)(鄰近大湖公園),58,25.083873,121.60206,臺北市
1,192,捷運葫洲站(1號出口),內湖區,康寧路三段/成功路五段450巷21弄(西北側)(捷運葫洲站1號出口前自行車停放區),44,25.072485,121.607955,臺北市
1,193,舊莊區民活動中心,南港區,舊莊街一段91巷/舊莊街一段91巷12弄(舊莊區民活動中心前)(鄰近胡適公園),36,25.041277,121.61935,臺北市
1,194,市民林森路口,中山區,市民大道二段/林森北路(東北側)(鄰近台北國際藝術村/台北希望廣場),50,25.047958,121.524388,臺北市
1,195,信義杭州路口(中華電信總公司),中正區,信義路一段/杭州南路一段(西北側)(鄰近國立中正紀念堂),50,25.035851,121.523987,臺北市
