time_id,time,week,hour,weekDays,number
10216,2020/12/24 14:55,3,14,1,0
10217,2020/12/24 15:00,3,15,1,0
10218,2020/12/24 15:05,3,15,1,0
10219,2020/12/24 15:11,3,15,1,0
10220,2020/12/24 15:16,3,15,1,0
10221,2020/12/24 15:21,3,15,1,0
10222,2020/12/24 15:26,3,15,1,0
10223,2020/12/24 15:31,3,15,1,0
10224,2020/12/24 15:36,3,15,1,0
10225,2020/12/24 15:41,3,15,1,0
10226,2020/12/24 15:46,3,15,1,0
10227,2020/12/24 15:51,3,15,1,0
10228,2020/12/24 15:56,3,15,1,0
10229,2020/12/24 16:01,3,16,1,0
10230,2020/12/24 16:07,3,16,1,0
10231,2020/12/24 16:12,3,16,1,0
10232,2020/12/24 16:17,3,16,1,0
10233,2020/12/24 16:22,3,16,1,0
10234,2020/12/24 16:27,3,16,1,0
10235,2020/12/24 16:32,3,16,1,0
10236,2020/12/24 16:37,3,16,1,0
10237,2020/12/24 16:42,3,16,1,0
10238,2020/12/24 16:47,3,16,1,0
10239,2020/12/24 16:52,3,16,1,0
10240,2020/12/24 16:57,3,16,1,0
10241,2020/12/24 17:03,3,17,1,0
10242,2020/12/24 17:08,3,17,1,0
10243,2020/12/24 17:13,3,17,1,0
10244,2020/12/24 17:18,3,17,1,0
10245,2020/12/24 17:23,3,17,1,0
10246,2020/12/24 17:28,3,17,1,0
10247,2020/12/24 17:33,3,17,1,0
10248,2020/12/24 17:38,3,17,1,0
10249,2020/12/24 17:43,3,17,1,0
10250,2020/12/24 17:48,3,17,1,0
10251,2020/12/24 17:54,3,17,1,0
10252,2020/12/24 17:59,3,17,1,0
10253,2020/12/24 18:04,3,18,1,0
10254,2020/12/24 18:09,3,18,1,0
10255,2020/12/24 18:14,3,18,1,0
10256,2020/12/24 18:19,3,18,1,0
10257,2020/12/24 18:24,3,18,1,0
10258,2020/12/24 18:29,3,18,1,0
10259,2020/12/24 18:34,3,18,1,0
10260,2020/12/24 18:39,3,18,1,0
10261,2020/12/24 18:45,3,18,1,0
10262,2020/12/24 18:50,3,18,1,0
10263,2020/12/24 18:55,3,18,1,0
10264,2020/12/24 19:00,3,19,1,0
10265,2020/12/24 19:05,3,19,1,0
10266,2020/12/24 19:10,3,19,1,0
10267,2020/12/24 19:15,3,19,1,0
10268,2020/12/24 19:20,3,19,1,0
10269,2020/12/24 19:25,3,19,1,0
10270,2020/12/24 19:30,3,19,1,0
10271,2020/12/24 19:36,3,19,1,0
10272,2020/12/24 19:41,3,19,1,0
10273,2020/12/24 19:46,3,19,1,0
10274,2020/12/24 19:51,3,19,1,0
10275,2020/12/24 19:56,3,19,1,0
10276,2020/12/24 20:01,3,20,1,0
10277,2020/12/24 20:06,3,20,1,0
10278,2020/12/24 20:11,3,20,1,0
10279,2020/12/24 20:16,3,20,1,0
10280,2020/12/24 20:21,3,20,1,0
10281,2020/12/24 20:27,3,20,1,0
10282,2020/12/24 20:32,3,20,1,0
10283,2020/12/24 20:37,3,20,1,0
10284,2020/12/24 20:42,3,20,1,0
10285,2020/12/24 20:47,3,20,1,0
10286,2020/12/24 20:52,3,20,1,0
10287,2020/12/24 20:57,3,20,1,0
10288,2020/12/24 21:02,3,21,1,0
10289,2020/12/24 21:07,3,21,1,0
10290,2020/12/24 21:12,3,21,1,0
10291,2020/12/24 21:18,3,21,1,0
10292,2020/12/24 21:23,3,21,1,0
10293,2020/12/24 21:28,3,21,1,0
10294,2020/12/24 21:33,3,21,1,0
10295,2020/12/24 21:38,3,21,1,0
10296,2020/12/24 21:43,3,21,1,0
10297,2020/12/24 21:48,3,21,1,0
10298,2020/12/24 21:53,3,21,1,0
10299,2020/12/24 21:58,3,21,1,0
10300,2020/12/24 22:03,3,22,1,0
10301,2020/12/24 22:09,3,22,1,0
10302,2020/12/24 22:14,3,22,1,0
10303,2020/12/24 22:19,3,22,1,0
10304,2020/12/24 22:24,3,22,1,0
10305,2020/12/24 22:29,3,22,1,0
10306,2020/12/24 22:34,3,22,1,0
10307,2020/12/24 22:39,3,22,1,0
10308,2020/12/24 22:44,3,22,1,0
10309,2020/12/24 22:49,3,22,1,0
10310,2020/12/24 22:54,3,22,1,0
10311,2020/12/24 23:00,3,23,1,0
10312,2020/12/24 23:05,3,23,1,0
10313,2020/12/24 23:10,3,23,1,0
10314,2020/12/24 23:15,3,23,1,0
10315,2020/12/24 23:20,3,23,1,0
