index,station_no,class,Diff,name,lat,lng
74,324,0,0,市立圖書館葫蘆堵分館,25.08221,121.5108
75,348,0,0,民生立體停車場,25.058522,121.55941999999999
76,170,0,0,新東公園,25.059245,121.56888300000001
77,188,0,0,社子國小,25.090293,121.50188999999999
78,43,0,0,凌雲市場,25.035639,121.614154
79,243,0,0,社子公園,25.090201999999998,121.50621899999999
80,330,0,0,迪化休閒運動公園,25.07491,121.5115
81,500101003,0,0,國北教大實小東側門,25.02429,121.54123999999999
82,47,0,0,捷運忠孝新生站(4號出口),25.042275,121.53393899999999
83,99,0,0,捷運雙連站(2號出口),25.057866,121.520711
84,101,0,0,華山文創園區,25.043668,121.52848700000001
85,185,0,0,?公公園,25.042342,121.54605
86,240,0,0,南京建國路口,25.052141,121.53680200000001
87,378,0,0,陽光街321巷口,25.073193,121.57869099999999
88,500101002,0,0,復興南路二段273號前,25.02565,121.54356999999999
89,500101017,0,0,羅斯福路三段269巷5號前,25.01913,121.53079
90,500119062,0,0,臺大公館停車場西北側,25.01345,121.53798
91,500101020,0,0,溫州停車場,25.02093,121.5331
92,500119080,0,0,臺大小小福西南側,25.01539,121.53686
93,1289,0,0,忠山市民活動中心,25.078201999999997,121.62449299999999
94,269,0,0,三軍總醫院,25.070723,121.590304
95,500101018,0,0,溫州公園,25.01895,121.53156000000001
96,500101093,0,0,大安區健康服務中心,25.021469,121.544069
97,500101008,0,0,新生南路三段52號前,25.02112,121.53407
98,500101092,0,0,和平實小東北側,25.021641,121.54704
99,500119063,0,0,臺大第二行政大樓南側,25.016029999999997,121.53635
100,500119065,0,0,臺大二號館,25.01699,121.53573999999999
101,265,0,0,中央北路四段30巷口,25.135394,121.478
102,283,0,0,中央北路四段540巷口,25.127959,121.4677
103,500106002,0,0,汀州思源街口東南側,25.014697,121.531908
104,500101004,0,0,和平公園東側,25.02351,121.54281999999999
105,500119056,0,0,臺大農化新館西側,25.016270000000002,121.53535
106,500101006,0,0,復興南路二段280號前,25.02429,121.54328000000001
107,500101007,0,0,復興南路二段340巷口,25.02253,121.54326
108,500101015,0,0,大安運動中心停車場,25.020348000000002,121.546446
109,500101019,0,0,和平臥龍街口,25.024461,121.546705
110,500119057,0,0,臺大五號館西側,25.01666,121.53718
111,500119082,0,0,臺大四號館東北側,25.01703,121.53781000000001
112,500119073,0,0,臺大校史館南側,25.01751,121.53568999999999
113,196,0,0,新湖國小,25.068744,121.58923300000001
114,246,0,0,國立故宮博物院,25.098743,121.54808600000001
115,500101035,0,0,臺大土木研究大樓前,25.017870000000002,121.5476
116,500119059,0,0,臺大共同教室北側,25.01595,121.53791000000001
117,500119081,0,0,臺大教研館北側,25.013370000000002,121.53908999999999
118,500119064,0,0,臺大明達館機車停車場,25.01754,121.54398
119,500119074,0,0,臺大生命科學館西北側,25.01548,121.53825
120,500119089,0,0,臺大獸醫館南側,25.01791,121.54241999999999
121,500119008,0,0,臺大檔案展示館,25.01391,121.52895
122,500119072,0,0,臺大原分所北側,25.018810000000002,121.53868
123,500119069,0,0,臺大思亮館東南側,25.02074,121.53906
124,500119084,0,0,臺大鄭江樓北側,25.019000000000002,121.54305
125,500101037,0,0,臺大國青大樓宿舍前,25.02076,121.54432
126,500119007,0,0,臺大水源修齊會館,25.014110000000002,121.52996999999999
127,374,0,0,麗湖國小,25.073322,121.602225
128,402,0,0,下灣公園,25.065159,121.595611
129,211,0,0,星雲金湖街口,25.080915,121.59733899999999
130,356,0,0,臺北市網球中心,25.0674,121.59749
131,500101040,0,0,臺大綜合體育館停車場前,25.0222,121.53626000000001
132,260,0,0,民權瑞光路口,25.068616,121.583991
133,335,0,0,景文中學,24.986301,121.56785500000001
134,500101030,0,0,臺大永齡生醫工程館,25.0136,121.54656000000001
135,180,0,0,福華商場,25.06877,121.59265400000001
136,239,0,0,新明路262巷口,25.056641,121.583403
137,500101021,0,0,銘傳國小側門,25.01385,121.53549
138,500101011,0,0,羅斯福路三段333巷9號旁,25.017570000000003,121.53271000000001
139,500106003,0,0,捷運公館站(1號出口),25.014529,121.534374
140,500101012,0,0,辛亥路一段30號前,25.01986,121.52982
141,500101016,0,0,羅斯福路三段245號前,25.019270000000002,121.52989
142,207,0,0,福安國中,25.103242,121.487477
143,102,0,0,臺北市客家文化主題公園,25.020429999999998,121.525322
144,141,0,0,文山行政中心,24.989902,121.569984
145,500101013,0,0,和平復興路口西北側,25.02543,121.54332
146,247,0,0,木柵公園,24.987144,121.560627
147,500101091,0,0,國北教大側門南側,25.022864000000002,121.546622
148,325,0,0,南京東路六段368巷,25.05827,121.58707
149,500119006,0,0,臺大卓越研究大樓,25.01466,121.52917
150,366,0,0,碧湖公園,25.07988,121.58287
151,233,0,0,捷運忠義站,25.131411,121.47415500000001
152,264,0,0,秀山區民活動中心,25.145936,121.49300900000001
153,381,0,0,民權東路六段15巷,25.06853,121.578125
154,500101036,0,0,臺大萬才館前,25.02032,121.54496999999999
155,500119086,0,0,臺大圖資系館北側,25.01804,121.53928
156,500119054,0,0,臺大心理系館南側,25.01941,121.5404
157,500119068,0,0,臺大社會系館南側,25.01987,121.54175
158,500119044,0,0,臺大仰萃樓東南側,25.01408,121.53759
159,500119055,0,0,臺大樂學館東側,25.01793,121.53585
160,500119046,0,0,臺大管理學院二館北側,25.01355,121.53673
161,500119060,0,0,臺大共同教室東南側,25.01566,121.53786000000001
162,500101034,0,0,臺大動物醫院前,25.01576,121.54291
163,500119047,0,0,臺大土木系館,25.01761,121.53844
