time_id,station_no,avalible_spaces,empty_spaces,forbidden_spaces,diff
81,501210024,5,9,0,0.0
81,501210027,17,14,0,2.0
81,501215001,5,9,0,0.0
81,501215002,5,12,0,0.0
81,501215003,7,13,0,0.0
81,501214001,6,7,0,0.0
81,501214002,13,2,0,0.0
81,501214003,3,12,0,0.0
81,501214005,4,13,0,0.0
81,501214007,6,7,0,0.0
81,501214008,10,4,0,0.0
81,501214009,1,13,0,0.0
81,501210033,14,0,0,0.0
81,501214010,8,2,0,0.0
81,501222002,3,3,0,0.0
81,501222003,6,4,0,0.0
81,501219003,14,16,0,0.0
81,501215005,9,7,0,0.0
81,501202033,1,14,15,0.0
81,501210003,5,10,0,0.0
81,501210007,8,7,0,0.0
81,501210011,10,5,0,0.0
81,501210013,14,1,0,0.0
81,501210015,9,6,0,0.0
81,501210017,3,11,0,0.0
81,501210018,6,8,0,0.0
81,501209025,5,10,0,0.0
81,501206022,8,2,0,0.0
81,501206043,7,8,0,0.0
81,501204004,4,10,0,0.0
81,501204005,7,9,0,0.0
81,501206029,7,7,0,0.0
81,501206051,4,11,0,0.0
81,501215004,10,4,0,0.0
81,501219010,6,9,0,0.0
81,501210040,20,7,0,1.0
81,501210020,9,6,0,0.0
81,501210021,8,11,0,0.0
81,501210043,5,12,0,0.0
81,501208038,8,16,0,-1.0
81,501216013,0,12,0,0.0
81,501216015,12,7,0,0.0
81,501203049,8,8,0,0.0
81,501202031,10,5,0,0.0
81,501202032,6,14,0,5.0
81,501212019,14,2,0,0.0
81,501212021,31,1,0,0.0
81,501210031,14,4,0,0.0
81,501216009,5,5,0,0.0
81,501210037,6,14,0,0.0
81,501212015,13,15,0,1.0
81,501210038,9,8,0,-1.0
81,501210041,5,10,0,0.0
81,501216017,8,2,0,0.0
81,501216018,0,9,0,0.0
81,501216019,1,9,0,0.0
81,501210008,24,4,0,0.0
81,501206066,44,11,0,2.0
81,501210034,6,15,0,0.0
81,501210039,9,19,0,0.0
81,501206054,5,12,0,0.0
81,501210009,4,10,0,0.0
81,501210012,10,5,0,0.0
81,501210044,9,7,0,0.0
81,501206079,5,11,0,0.0
81,501206078,9,7,0,0.0
81,501216003,11,4,0,1.0
81,501216016,8,7,0,0.0
81,501202040,13,27,0,1.0
81,501212013,14,9,0,0.0
81,501208041,13,2,0,0.0
81,501203064,2,14,0,0.0
81,501210045,5,11,0,0.0
81,501208061,1,20,0,0.0
81,501208052,8,8,0,0.0
81,501203053,25,1,0,3.0
81,501212017,9,19,0,0.0
81,501203062,6,9,0,1.0
81,501206076,8,7,0,0.0
81,501203071,1,29,0,1.0
81,501203072,2,16,0,-2.0
81,501203080,3,18,0,0.0
81,501203074,9,18,0,0.0
81,501203075,5,10,0,0.0
81,501203047,4,15,15,-1.0
81,501203063,0,16,0,0.0
81,501212014,7,14,0,0.0
81,501212023,27,0,0,0.0
81,501203058,10,10,0,0.0
81,501203061,10,4,2,0.0
81,501203069,9,7,0,0.0
81,501203051,5,19,0,2.0
81,501226001,11,4,0,0.0
81,501205025,10,29,0,-2.0
81,501202041,17,11,0,0.0
81,501205021,4,11,0,0.0
81,501208051,14,2,0,1.0
81,501202043,5,4,0,2.0
81,501202046,13,2,0,0.0
81,501212018,12,7,0,0.0
81,501203067,5,8,0,-1.0
81,501212020,11,4,0,0.0
81,501203068,4,11,0,0.0
81,501202048,0,20,0,-1.0
81,501203070,5,10,0,0.0
81,501201017,0,17,0,0.0
81,501203056,5,17,0,0.0
81,501201021,4,11,0,-1.0
81,501201022,9,6,0,0.0
81,501203078,6,10,0,0.0
81,501214013,6,10,0,0.0
81,501202051,3,17,0,-2.0
81,501202044,2,18,0,-1.0
81,501208042,6,10,0,-3.0
81,501209028,15,13,0,0.0
81,501209031,10,20,0,0.0
81,501208032,10,10,0,0.0
81,501212016,4,23,0,0.0
81,501209039,4,12,0,2.0
81,501212022,14,2,0,0.0
81,501202054,4,11,0,-1.0
81,501208033,28,13,0,0.0
81,501203055,6,22,0,-2.0
81,501203059,7,19,0,0.0
81,501208043,1,15,0,0.0
81,501208044,0,15,0,0.0
81,501203077,6,9,0,5.0
